destination_id,name,district,category,climate_type,crowd_level,rating,best_season,air_quality_index,latitude,longitude
1,Sree Padmanabhaswamy Temple,Thiruvananthapuram,Temple,Tropical,High,4.7,Oct-Mar,42,8.4829,76.9436
2,Kovalam Beach,Thiruvananthapuram,Beach,Tropical,High,4.5,Sep-May,38,8.3908,76.9786
3,Varkala Beach,Thiruvananthapuram,Beach,Tropical,High,4.6,Oct-Mar,35,8.7379,76.7103
4,Ponmudi,Thiruvananthapuram,Hill Station,Hill Station,Moderate,4.4,Sep-May,32,8.7592,77.1147
5,Agasthyakoodam,Thiruvananthapuram,Peak,Hill Station,Low,4.7,Dec-Feb,25,8.6167,77.2500
6,Neyyar Dam,Thiruvananthapuram,Dam,Tropical,Moderate,4.3,Oct-Mar,40,8.5333,77.1500
7,Neyyar Wildlife Sanctuary,Thiruvananthapuram,Wildlife,Tropical,Moderate,4.4,Oct-Mar,35,8.5500,77.1667
8,Kuthira Malika Palace,Thiruvananthapuram,Palace,Tropical,Moderate,4.5,Oct-Mar,45,8.4829,76.9436
9,Napier Museum,Thiruvananthapuram,Museum,Tropical,Moderate,4.3,Oct-Mar,48,8.5083,76.9556
10,Kanakakkunnu Palace,Thiruvananthapuram,Palace,Tropical,Moderate,4.4,Oct-Mar,44,8.5167,76.9500
11,Shankumugham Beach,Thiruvananthapuram,Beach,Tropical,Moderate,4.2,Sep-May,36,8.4783,76.9097
12,Akkulam Tourist Village,Thiruvananthapuram,Eco Park,Tropical,Moderate,4.2,Oct-Mar,42,8.5236,76.8917
13,Poovar Island,Thiruvananthapuram,Island,Tropical,Moderate,4.3,Oct-Mar,33,8.3167,76.9833
14,Veli Tourist Village,Thiruvananthapuram,Lakefront,Tropical,Moderate,4.1,Oct-Mar,41,8.5167,76.8833
15,Attukal Bhagavathy Temple,Thiruvananthapuram,Temple,Tropical,High,4.6,Feb-Mar,43,8.4853,76.9458
16,Janardanaswamy Temple,Thiruvananthapuram,Temple,Tropical,High,4.5,Oct-Mar,37,8.7333,76.7167
17,Meenmutty Waterfalls,Thiruvananthapuram,Waterfall,Hill Station,Moderate,4.4,Jun-Jan,28,8.7833,77.1333
18,Peppara Dam,Thiruvananthapuram,Dam,Tropical,Low,4.2,Oct-Mar,34,8.6167,77.1333
19,Peppara Wildlife Sanctuary,Thiruvananthapuram,Wildlife,Tropical,Low,4.3,Oct-Mar,33,8.6167,77.1333
20,Vizhinjam Lighthouse,Thiruvananthapuram,Lighthouse,Tropical,Moderate,4.3,Sep-May,39,8.3833,76.9833
21,Aruvikkara Dam,Thiruvananthapuram,Dam,Tropical,Low,4.1,Oct-Mar,41,8.5333,76.9833
22,Aruvikkara Bhagavathy Temple,Thiruvananthapuram,Temple,Tropical,Moderate,4.3,Oct-Mar,42,8.5333,76.9833
23,Chalai Market,Thiruvananthapuram,Market,Tropical,High,4.0,Oct-Mar,55,8.4833,76.9500
24,Kanyakumari Wildlife Division,Thiruvananthapuram,Forest,Tropical,Low,4.2,Oct-Mar,30,8.3833,77.1500
25,Kappil Beach,Thiruvananthapuram,Beach,Tropical,Moderate,4.3,Sep-May,35,8.7833,76.6833
26,Sivagiri Mutt,Thiruvananthapuram,Religious Site,Tropical,High,4.5,Dec-Jan,40,8.7500,76.7167
27,Thiruvallam Parasurama Temple,Thiruvananthapuram,Temple,Tropical,Moderate,4.3,Oct-Mar,44,8.4667,76.9167
28,Madavoorpara,Thiruvananthapuram,Heritage Site,Tropical,Low,4.2,Oct-Mar,38,8.6333,76.9333
29,Vizhinjam Rock Cut Cave Temple,Thiruvananthapuram,Heritage,Tropical,Moderate,4.3,Oct-Mar,37,8.3833,76.9833
30,Koyikkal Palace,Thiruvananthapuram,Museum,Tropical,Low,4.1,Oct-Mar,36,8.6833,76.9500
31,Anchuthengu Fort,Thiruvananthapuram,Fort,Tropical,Moderate,4.2,Oct-Mar,39,8.6500,76.7667
32,Azhimala Shiva Temple,Thiruvananthapuram,Temple,Tropical,Moderate,4.4,Oct-Mar,35,8.4667,76.9667
33,Varkala Tunnel,Thiruvananthapuram,Heritage,Tropical,Low,4.0,Oct-Mar,34,8.7333,76.7167
34,Kadinamkulam Lake,Thiruvananthapuram,Lake,Tropical,Low,4.1,Oct-Mar,40,8.5833,76.8167
35,Beemapally Mosque,Thiruvananthapuram,Mosque,Tropical,Moderate,4.3,Oct-Mar,42,8.4500,76.9333
36,CSI Christ Church Palayam,Thiruvananthapuram,Church,Tropical,Moderate,4.2,Oct-Mar,44,8.5000,76.9500
37,St Josephs Cathedral Thiruvananthapuram,Thiruvananthapuram,Church,Tropical,High,4.4,Oct-Mar,43,8.4833,76.9500
38,Kerala Science and Technology Museum,Thiruvananthapuram,Museum,Tropical,Moderate,4.1,Oct-Mar,46,8.5000,76.9500
39,Magic Planet,Thiruvananthapuram,Recreation,Tropical,Moderate,4.3,Oct-Mar,41,8.5167,76.9333
40,Vellayani Lake,Thiruvananthapuram,Lake,Tropical,Low,4.2,Oct-Mar,38,8.4333,76.9833
41,Akkulam Lake,Thiruvananthapuram,Lake,Tropical,Moderate,4.1,Oct-Mar,42,8.5167,76.8833
42,Ashtamudi Lake,Kollam,Lake,Tropical,High,4.5,Oct-Mar,40,8.9833,76.6167
43,Jatayu Earths Center,Kollam,Adventure Park,Tropical,High,4.6,Oct-Mar,36,8.8667,76.8667
44,Thenmala,Kollam,Eco Tourism,Tropical,Moderate,4.4,Oct-Mar,32,8.9500,77.0667
45,Palaruvi Waterfalls,Kollam,Waterfall,Tropical,High,4.5,Jun-Jan,30,8.9667,77.1667
46,Thangassery Lighthouse,Kollam,Lighthouse,Tropical,Moderate,4.3,Sep-May,41,8.8833,76.5667
47,Thirumullavaram Beach,Kollam,Beach,Tropical,Moderate,4.2,Sep-May,37,8.9000,76.5667
48,Sasthamkotta Lake,Kollam,Lake,Tropical,Moderate,4.4,Oct-Mar,35,9.0333,76.6333
49,Kollam Beach,Kollam,Beach,Tropical,High,4.3,Sep-May,43,8.8833,76.5667
